x,y,predicted_intensity
2.0,-9.0,37.440127574364894
2.25,-9.0,44.53558430374375
2.5,-9.0,44.51430416456448
2.75,-9.0,47.62246995232907
3.0,-9.0,44.708680878580296
3.25,-9.0,43.99958015911986
3.5,-9.0,42.77471408798556
3.75,-9.0,40.84845349105525
4.0,-9.0,38.836656749740655
4.25,-9.0,37.70999797531279
4.5,-9.0,35.7183494127791
4.75,-9.0,33.93814740452671
5.0,-9.0,32.36018089452116
5.25,-9.0,30.523449389403886
5.5,-9.0,28.719769833973032
5.75,-9.0,28.285816075102545
6.0,-9.0,26.703171776016646
6.25,-9.0,25.06421950551173
6.5,-9.0,21.823253386211796
6.75,-9.0,19.693456431723046
7.0,-9.0,16.784294967539296
7.25,-9.0,12.680136621152826
7.5,-9.0,12.536141649890752
7.75,-9.0,11.713090680839805
8.0,-9.0,11.798172020878939
8.25,-9.0,11.5302892453889
8.5,-9.0,11.064156397296152
8.75,-9.0,10.959161907223734
9.0,-9.0,8.323402586431973
9.25,-9.0,3.2317350507214724
-9.5,-8.75,0.06738341233803896
-9.25,-8.75,0.36286001175267035
-9.0,-8.75,0.7213866210254885
-8.75,-8.75,0.37138069506437793
-8.5,-8.75,-0.16108861306106464
-8.25,-8.75,-0.10490036182671462
-8.0,-8.75,0.05108893400853127
-7.75,-8.75,0.10660975409666348
-7.5,-8.75,0.19939521970047736
-7.25,-8.75,0.38134158447145033
-7.0,-8.75,0.5431949050911622
-6.75,-8.75,0.8308671170439256
-6.5,-8.75,1.3389355514966121
-6.25,-8.75,1.587376412460754
-6.0,-8.75,1.7245070221237953
-5.75,-8.75,1.8249237348857237
-5.5,-8.75,1.8049378642658864
-5.25,-8.75,1.8319419220751751
-5.0,-8.75,1.881105413881333
-4.75,-8.75,1.9661725615006702
-4.5,-8.75,2.023259730172839
-4.25,-8.75,2.065386556362034
-4.0,-8.75,2.1640685580908845
-3.75,-8.75,2.235085063923883
-3.5,-8.75,2.28127889468772
-3.25,-8.75,2.4064931896622133
-3.0,-8.75,2.513157805856295
-2.75,-8.75,2.599309643251128
-2.5,-8.75,2.694637264873242
-2.25,-8.75,2.9315956058250725
-2.0,-8.75,2.99660974215242
-1.75,-8.75,3.3918588727988532
-1.5,-8.75,3.8431059016898645
-1.25,-8.75,4.735511398664884
-1.0,-8.75,5.471472149990959
-0.75,-8.75,7.299759114627873
-0.5,-8.75,8.91849819122939
-0.25,-8.75,10.269094416813566
0.0,-8.75,11.514139147210795
0.25,-8.75,12.890952308368163
0.5,-8.75,16.632709389269827
0.75,-8.75,18.230445365214322
1.0,-8.75,22.350464418871226
1.25,-8.75,23.561219699041487
1.5,-8.75,25.392503196885357
1.75,-8.75,21.953474017579463
2.0,-8.75,38.033790948979544
2.25,-8.75,53.993171113514265
2.5,-8.75,47.74321900948556
2.75,-8.75,46.867297942643944
3.0,-8.75,47.21805524782792
3.25,-8.75,46.89001171215506
3.5,-8.75,44.037993120508304
3.75,-8.75,43.382551732171095
4.0,-8.75,41.04526186282453
4.25,-8.75,38.551443413389904
4.5,-8.75,36.59770686383597
4.75,-8.75,35.69897713239288
5.0,-8.75,34.49697028315698
5.25,-8.75,32.94822791344273
5.5,-8.75,30.327655012133803
5.75,-8.75,29.376758585535484
6.0,-8.75,28.642353466688185
6.25,-8.75,26.808215025055915
6.5,-8.75,23.77730676869497
6.75,-8.75,21.725518041905744
7.0,-8.75,20.85183398767265
7.25,-8.75,14.162746531634212
7.5,-8.75,11.411520025400819
7.75,-8.75,12.848286446639449
8.0,-8.75,12.593996616049061
8.25,-8.75,12.57722645882317
8.5,-8.75,12.302998561162408
8.75,-8.75,11.051952349295751
9.0,-8.75,6.062197777105015
9.25,-8.75,1.7180491021723605
-9.5,-8.5,0.011943450991351247
-9.25,-8.5,0.06404181843759928
-9.0,-8.5,0.12540464142893873
-8.75,-8.5,0.05772315720825205
-8.5,-8.5,-0.04118913391142642
-8.25,-8.5,-0.03034313793078275
-8.0,-8.5,-0.0008827675703389493
-7.75,-8.5,0.009278529277647971
-7.5,-8.5,0.026313918928721557
-7.25,-8.5,0.06207944471952839
-7.0,-8.5,0.11494538193093987
-6.75,-8.5,0.28123439326053273
-6.5,-8.5,0.6041983600845545
-6.25,-8.5,0.9306485948709633
-6.0,-8.5,1.3672981045061814
-5.75,-8.5,1.614359571036855
-5.5,-8.5,1.7013463799889907
-5.25,-8.5,1.9505591130467743
-5.0,-8.5,2.0498048351325773
-4.75,-8.5,2.0327333319363525
-4.5,-8.5,2.1093406188592976
-4.25,-8.5,2.1916667645469707
-4.0,-8.5,2.179107091200808
-3.75,-8.5,2.303953246517686
-3.5,-8.5,2.388891292621995
-3.25,-8.5,2.387440274580264
-3.0,-8.5,2.5132859518848254
-2.75,-8.5,2.6811957299879072
-2.5,-8.5,2.81414076032552
-2.25,-8.5,3.0945057911506835
-2.0,-8.5,3.2681957860640933
-1.75,-8.5,3.5882388796991425
-1.5,-8.5,4.179871909820397
-1.25,-8.5,4.926970801504822
-1.0,-8.5,5.877390211671539
-0.75,-8.5,6.923397438304939
-0.5,-8.5,8.364940601516388
-0.25,-8.5,10.337252646204988
0.0,-8.5,12.138813561087819
0.25,-8.5,14.187456336336616
0.5,-8.5,17.30676325086749
0.75,-8.5,19.52042363096423
1.0,-8.5,24.39493819031543
1.25,-8.5,25.90078658369609
1.5,-8.5,30.01965104930767
1.75,-8.5,30.30933162378858
2.0,-8.5,37.06086899063812
2.25,-8.5,41.26621973749487
2.5,-8.5,47.163668145988055
2.75,-8.5,56.054461889656686
3.0,-8.5,48.040200248568226
3.25,-8.5,46.50305884931089
3.5,-8.5,44.61281941755226
3.75,-8.5,41.36158082675382
4.0,-8.5,38.72856645180144
4.25,-8.5,38.54744459735656
4.5,-8.5,36.60760267017503
4.75,-8.5,34.21930487939754
5.0,-8.5,33.08489566799796
5.25,-8.5,31.891365165864833
5.5,-8.5,30.857275158950674
5.75,-8.5,29.017768594713623
6.0,-8.5,28.208373012202994
6.25,-8.5,27.83574488042718
6.5,-8.5,25.391620329909173
6.75,-8.5,22.970061125225754
7.0,-8.5,21.630628190589846
7.25,-8.5,17.433868762853535
7.5,-8.5,13.916434377963924
7.75,-8.5,12.494913903056784
8.0,-8.5,12.88745177888299
8.25,-8.5,12.96437557330578
8.5,-8.5,13.412898474451772
8.75,-8.5,11.153985791568246
9.0,-8.5,4.7745751412395725
9.25,-8.5,0.934825631145564
-9.5,-8.25,0.0019425689054843867
-9.25,-8.25,0.009318250499343816
-9.0,-8.25,0.011393878413867298
-8.75,-8.25,-0.015030047900349786
-8.5,-8.25,-0.032602456928386925
-8.25,-8.25,-0.0164872730910548
-8.0,-8.25,-0.0028947876275342566
-7.75,-8.25,0.0002067031717686964
-7.5,-8.25,0.001651283483723788
-7.25,-8.25,0.004610248988433148
-7.0,-8.25,0.012496762531779802
-6.75,-8.25,0.04624605874530051
-6.5,-8.25,0.1268353920677656
-6.25,-8.25,0.28390078561304677
-6.0,-8.25,0.5485970625763651
-5.75,-8.25,0.72230672740863
-5.5,-8.25,0.9529078611113774
-5.25,-8.25,1.4662539256438842
-5.0,-8.25,1.8436713736476933
-4.75,-8.25,2.023594990441614
-4.5,-8.25,2.098380966940411
