x,y,predicted_intensity
-7.700000000000006,-8.800000000000004,0.0
-7.500000000000007,-8.800000000000004,0.0
-7.300000000000008,-8.800000000000004,0.0
-7.1000000000000085,-8.800000000000004,0.0
-6.900000000000009,-8.800000000000004,0.0
-6.70000000000001,-8.800000000000004,0.0
-6.500000000000011,-8.800000000000004,0.0
-6.300000000000011,-8.800000000000004,0.0
-6.100000000000012,-8.800000000000004,0.0
-5.900000000000013,-8.800000000000004,0.0
-5.7000000000000135,-8.800000000000004,0.0
-5.500000000000014,-8.800000000000004,0.0
-5.300000000000015,-8.800000000000004,0.0
-5.100000000000016,-8.800000000000004,0.0
-4.900000000000016,-8.800000000000004,0.0
-4.700000000000017,-8.800000000000004,0.0
-4.500000000000018,-8.800000000000004,0.0
-4.3000000000000185,-8.800000000000004,0.0
-4.100000000000019,-8.800000000000004,0.0
-3.90000000000002,-8.800000000000004,0.0
-3.7000000000000206,-8.800000000000004,0.0
-3.5000000000000213,-8.800000000000004,0.0
-3.300000000000022,-8.800000000000004,0.0
-3.1000000000000227,-8.800000000000004,0.0
-2.9000000000000234,-8.800000000000004,0.0
-2.700000000000024,-8.800000000000004,0.0
-2.500000000000025,-8.800000000000004,0.0
-2.3000000000000256,-8.800000000000004,0.0
-2.1000000000000263,-8.800000000000004,0.0
-1.900000000000027,-8.800000000000004,0.0
-1.7000000000000277,-8.800000000000004,0.0
-1.5000000000000284,-8.800000000000004,0.0
-1.3000000000000291,-8.800000000000004,0.0
-1.1000000000000298,-8.800000000000004,0.0
-0.9000000000000306,-8.800000000000004,0.0
-0.7000000000000313,-8.800000000000004,0.0
-0.500000000000032,-8.800000000000004,0.0
-0.3000000000000327,-8.800000000000004,0.0
-0.1000000000000334,-8.800000000000004,0.0
0.0999999999999659,-8.800000000000004,0.0
0.2999999999999652,-8.800000000000004,0.0
0.4999999999999645,-8.800000000000004,0.0
0.6999999999999638,-8.800000000000004,0.0
0.899999999999963,-8.800000000000004,0.0
1.0999999999999623,-8.800000000000004,0.0
1.2999999999999616,-8.800000000000004,0.0
1.499999999999961,-8.800000000000004,0.0
1.6999999999999602,-8.800000000000004,0.0
1.8999999999999595,-8.800000000000004,0.0
2.099999999999959,-8.800000000000004,0.0
2.299999999999958,-8.800000000000004,0.0
2.4999999999999574,-8.800000000000004,0.0
2.6999999999999567,-8.800000000000004,0.0
2.899999999999956,-8.800000000000004,0.0
3.0999999999999552,-8.800000000000004,0.0
3.2999999999999545,-8.800000000000004,0.0
3.499999999999954,-8.800000000000004,0.0
3.699999999999953,-8.800000000000004,0.0
3.8999999999999524,-8.800000000000004,0.0
4.099999999999952,-8.800000000000004,0.0
4.299999999999951,-8.800000000000004,0.0
4.49999999999995,-8.800000000000004,0.0
4.6999999999999496,-8.800000000000004,0.0
4.899999999999949,-8.800000000000004,0.0
5.099999999999948,-8.800000000000004,0.0
5.299999999999947,-8.800000000000004,0.0
5.499999999999947,-8.800000000000004,0.0
5.699999999999946,-8.800000000000004,0.0
5.899999999999945,-8.800000000000004,0.0
6.099999999999945,-8.800000000000004,0.0
6.299999999999944,-8.800000000000004,0.0
6.499999999999943,-8.800000000000004,0.0
6.6999999999999424,-8.800000000000004,0.0
6.899999999999942,-8.800000000000004,0.0
7.099999999999941,-8.800000000000004,0.0
7.29999999999994,-8.800000000000004,0.0
7.49999999999994,-8.800000000000004,0.0
7.699999999999939,-8.800000000000004,0.0
7.899999999999938,-8.800000000000004,0.0
8.099999999999937,-8.800000000000004,0.0
8.299999999999937,-8.800000000000004,0.0
8.499999999999936,-8.800000000000004,0.0
8.699999999999935,-8.800000000000004,0.0
8.899999999999935,-8.800000000000004,0.0
9.099999999999934,-8.800000000000004,0.0
9.299999999999933,-8.800000000000004,0.0
-9.5,-8.600000000000005,0.0
-9.3,-8.600000000000005,0.0
-9.100000000000001,-8.600000000000005,0.0
-8.900000000000002,-8.600000000000005,0.0
-8.700000000000003,-8.600000000000005,0.0
-8.500000000000004,-8.600000000000005,0.0
-8.300000000000004,-8.600000000000005,0.0
-8.100000000000005,-8.600000000000005,0.0
-7.900000000000006,-8.600000000000005,0.0
