x,y,intensity
3.125,-9.375,41.1923
3.375,-9.375,40.0659
3.625,-9.375,39.0067
3.875,-9.375,38.3919
4.125,-9.375,37.0942
4.375,-9.375,35.1927
4.625,-9.375,33.8908
4.875,-9.375,32.5879
5.125,-9.375,31.2296
5.375,-9.375,29.9042
5.625,-9.375,28.531
5.875,-9.375,27.0792
6.125,-9.375,25.5181
6.375,-9.375,23.645
6.625,-9.375,21.5155
6.875,-9.375,18.8862
7.125,-9.375,15.5277
7.375,-9.375,11.8696
7.625,-9.375,11.6857
7.875,-9.375,11.552
8.125,-9.375,11.3964
8.375,-9.375,11.2472
8.625,-9.375,11.096
8.875,-9.375,10.8472
9.125,-9.375,-1
9.375,-9.375,-1
-9.375,-9.125,-1
-9.125,-9.125,-1
-8.875,-9.125,1.35622
-8.625,-9.125,1.34894e-05
-8.375,-9.125,-1
-8.125,-9.125,-1
-7.875,-9.125,-1
-7.625,-9.125,-1
-7.375,-9.125,-1
-7.125,-9.125,1.50902
-6.875,-9.125,1.5543
-6.625,-9.125,1.60865
-6.375,-9.125,1.62796
-6.125,-9.125,1.65149
-5.875,-9.125,1.6857
-5.625,-9.125,1.72213
-5.375,-9.125,1.77191
-5.125,-9.125,1.82305
-4.875,-9.125,1.88311
-4.625,-9.125,1.94445
-4.375,-9.125,2.02069
-4.125,-9.125,2.11507
-3.875,-9.125,2.12656
-3.625,-9.125,2.31677
-3.375,-9.125,2.45249
-3.125,-9.125,2.67073
-2.875,-9.125,2.87795
-2.625,-9.125,3.21525
-2.375,-9.125,3.45474
-2.125,-9.125,4.06562
-1.875,-9.125,4.7746
-1.625,-9.125,5.46136
-1.375,-9.125,6.31918
-1.125,-9.125,6.83486
-0.875,-9.125,7.50158
-0.625,-9.125,8.34861
-0.375,-9.125,10.2581
-0.125,-9.125,11.7273
0.125,-9.125,13.6135
0.375,-9.125,16.6073
0.625,-9.125,16.6284
0.875,-9.125,18.3779
1.125,-9.125,20.0947
1.375,-9.125,21.6589
1.625,-9.125,39.8335
1.875,-9.125,41.302
2.125,-9.125,42.3414
2.375,-9.125,42.9186
2.625,-9.125,43.0236
2.875,-9.125,42.6789
3.125,-9.125,41.9514
3.375,-9.125,40.9336
3.625,-9.125,39.707
3.875,-9.125,38.3305
4.125,-9.125,36.8689
4.375,-9.125,35.4074
4.625,-9.125,33.3576
4.875,-9.125,32.7151
5.125,-9.125,30.6927
5.375,-9.125,29.2604
5.625,-9.125,28.619
5.875,-9.125,27.7315
6.125,-9.125,24.4545
6.375,-9.125,23.4766
6.625,-9.125,19.8436
6.875,-9.125,18.301
7.125,-9.125,14.5064
7.375,-9.125,11.858
7.625,-9.125,11.685
7.875,-9.125,11.6586
8.125,-9.125,11.5409
8.375,-9.125,11.3811
8.625,-9.125,11.2049
8.875,-9.125,11.1124
9.125,-9.125,-1
9.375,-9.125,-1
-9.375,-8.875,-1
-9.125,-8.875,-1
